,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Ventricular Cardiomyocyte
109,0.036775,0.028533727,0.3700934,0.93157756,0.13055103,2.8078847,0.73058283,1.4168445,0.050294276,0.5306405,0.22882949,1.6863282
110,0.03312661,0.0050965887,0.16419695,0.16975112,0.028135719,0.11129687,0.0825355,0.06942961,0.05104774,0.45079982,3.193512,0.086070344
111,0.09862101,0.15211435,1.9050124,0.25388998,0.10707784,0.06427534,0.857623,0.054173894,0.38873956,0.046680614,0.70100325,1.2431839
112,0.022994306,0.0025298356,0.7419118,1.7114246,0.049081024,0.38226348,1.112773,0.071100906,0.3458172,0.17387949,0.07152538,0.0024462414
113,0.031538688,0.011590341,0.59181273,0.35269397,0.022725193,0.3585515,0.7746018,1.6365372,2.3386936,1.4123194,0.38928652,0.021361442
114,0.008978976,0.0014149793,0.91752285,0.4127567,0.95983297,2.4223833,0.30656767,1.0769345,0.074854046,0.067521,0.23743418,0.0013061045
115,0.38874865,0.036130577,2.7717257,1.5182045,0.040394623,1.3948021,3.111443,0.13973488,1.3162493,0.65321463,0.44861138,0.009745616
116,0.030849813,0.01250458,1.2327439,0.25191227,0.076869845,0.571713,0.3700637,0.34588385,1.0167786,0.4182714,0.3920131,0.63764405
117,0.01373732,0.006452142,1.3639302,1.7910328,1.5265069,0.044024315,0.010688489,0.066942215,0.2897994,0.5314027,0.15963903,0.0048069283
118,0.028106295,0.020086845,0.1948182,0.17971854,0.510512,0.40892455,0.024161033,0.9036214,0.515333,3.5019891,0.05922463,0.8862579
119,0.007990691,0.0018278607,1.2056389,0.5246918,0.01701609,0.1952562,1.8631214,0.1497524,2.2863526,2.0188065,0.26682377,0.0011325843
120,0.015887342,0.011875586,0.09982368,0.2915286,1.6986746,0.3508047,0.3270164,0.21825048,1.6210245,0.61767864,0.20459177,0.7897744
121,0.011797035,0.0054438086,1.0463566,0.1102973,0.8634277,1.500208,1.0203149,0.11305907,2.9859378,0.19278213,0.2243358,0.10622609
122,0.020620104,0.0073233726,0.36811143,2.508884,1.0009441,1.5121353,0.112668395,0.11902963,0.3708906,0.7951378,0.2507576,0.0067310557
