,Atrial Cardiomyocyte,Ventricular Cardiomyocyte,Fibroblast,Endothelial cell,Lymphatic Endothelial cell,Mural cell,Mesothelial cell,Neural cell,Adipocyte,Myeloid,Lymphoid,Mast cell
115,0.0034130667,0.0059292675,0.21581742,0.092699386,0.22927436,1.4609722e-09,0.0022954375,0.18061529,0.02667077,0.20983812,0.031310122,0.0021367155
116,0.012092266,0.0521103,0.009931393,0.004343691,0.034200914,1.9016078e-09,0.1887493,0.026448516,0.033158947,0.52654237,0.037895326,0.07452701
117,0.0028552236,0.019777158,0.18701908,0.031518172,0.11261256,3.733785e-09,0.129125,0.16245191,0.034534425,0.27849188,0.03839618,0.0032184124
118,0.00495353,0.09414633,0.027538441,0.033634637,0.1707064,6.069664e-09,0.48431548,0.08813171,0.0008407296,0.005010109,0.037818477,0.052904196
119,0.024951056,0.32098642,0.03130293,0.063514486,0.1112134,1.2854261e-07,0.00020807773,0.11560411,0.002060814,0.11408972,0.12327078,0.09279806
120,0.0033315348,0.011857481,0.11825355,0.051256508,0.08185608,7.4887646e-10,0.44937927,0.06235612,0.01897383,0.1202298,0.0808826,0.001623303
121,0.041846953,0.5658661,0.091093205,0.02882291,0.08889795,7.557501e-10,0.0027281533,0.086827405,0.009658554,0.049865264,0.019741638,0.014651864
122,0.0042535416,0.006797383,0.0403582,0.11795426,0.11841469,1.9747967e-08,0.34326038,0.04851549,0.007557099,0.20434341,0.040625915,0.0679196
123,0.016106557,0.06425347,0.27378932,0.019457893,0.121585675,8.786145e-10,0.0015332453,0.12104981,0.05099084,0.29217216,0.036494896,0.0025661618
124,0.006969475,0.18350878,0.29467452,0.079370506,0.07772924,5.9506217e-08,0.011567773,0.17121042,0.023950357,0.073745176,0.04319118,0.0340825
125,0.0076326,0.15059122,0.056785166,0.0070624873,0.008307431,4.0101806e-09,0.338874,0.07704946,0.046109453,0.22315373,0.07834845,0.0060859686
126,0.03271435,0.2161243,0.028603049,0.09948237,0.021799844,8.8260464e-08,0.3004425,0.13747588,0.0017367288,0.03852035,0.08643181,0.036668785
127,0.0033495768,0.0048014247,0.19500075,0.060604967,0.19823107,7.3439166e-10,0.11879812,0.12781797,0.048573673,0.20036712,0.033120338,0.009334968
128,0.0006221959,0.017265476,0.030079376,0.038394343,0.04678722,9.686156e-09,0.47851244,0.16772354,0.0034559146,0.120582014,0.056501895,0.04007557
129,0.008160552,0.0799042,0.15987827,0.12772304,0.19761941,8.4883574e-08,0.09709939,0.21009885,0.007929442,0.06166071,0.028701205,0.021224832
130,0.0028494196,0.031248039,0.013461212,0.06941463,0.024906596,6.414854e-09,0.385603,0.06819233,0.0038532268,0.31833544,0.019572806,0.06256326
131,0.0069662076,0.073880754,0.14768358,0.19055729,0.045105167,8.51102e-08,0.060099743,0.154059,0.020387204,0.20361853,0.031546094,0.0660964
132,0.005589257,0.07478949,0.12711771,0.080421336,0.021673122,1.7377541e-08,0.40809873,0.06605558,0.037549615,0.110688664,0.062333055,0.005683504
133,0.03773168,0.4206509,0.07207841,0.029325053,0.04510223,4.0166043e-08,0.0857012,0.14017405,0.0053274943,0.005872723,0.10793385,0.05010237
134,0.012071651,0.34063336,0.018521562,0.0065461374,0.03228331,2.8447578e-09,0.46475402,0.057477288,0.000874588,0.019647691,0.017502708,0.029687667
135,0.004562951,0.12195553,0.016752042,0.11957821,0.056019377,1.4905718e-08,0.19744556,0.030062944,0.0030889309,0.37463388,0.035179127,0.040721443
136,0.008637053,0.15742637,0.038699962,0.2598779,0.09122731,1.5297462e-07,0.00016442752,0.18707553,0.0032994621,0.20939027,0.042730592,0.001470953
137,0.031864516,0.12582591,0.20812711,0.078461505,0.06938605,4.6917425e-08,0.16399069,0.18589675,0.016430845,0.0023801918,0.07709167,0.04054467
138,0.008593274,0.09269326,0.1068033,0.104473606,0.067234226,4.233774e-08,0.00035919348,0.16774793,0.014868828,0.3206288,0.03556884,0.08102872
139,0.02065697,0.34986195,0.18615092,0.086066656,0.012833943,6.004238e-08,0.0008673723,0.19703843,0.024216356,0.004956119,0.060413804,0.056937393
140,0.009540302,0.055069894,0.33004934,0.027201446,0.16218707,3.0986511e-09,0.122391894,0.1354915,0.07977929,0.019193443,0.041664403,0.017431417
141,0.017607033,0.37820473,0.04757801,0.042237267,0.1172305,5.813384e-09,0.18068749,0.06666379,0.0020551463,0.06084141,0.05969407,0.027200563
142,0.2885636,0.08445792,0.021936443,0.032300632,0.02696688,2.4206324e-09,0.44455862,0.04492795,0.006633787,0.01612954,0.029575901,0.0039487174
143,0.006801579,0.13197699,0.09940808,0.0013932798,0.003677127,1.7225689e-10,0.41368803,0.10703609,0.04939728,0.16656394,0.019026538,0.0010310382
144,0.023460895,0.050026633,0.16050833,0.26389056,0.044771783,1.024647e-07,0.22368991,0.10906484,0.008124681,0.00361352,0.051148165,0.06170054
145,0.030285226,0.32024953,0.0669151,0.055555213,0.066794105,7.628065e-08,0.23436624,0.0902206,0.0043541747,0.0040424936,0.035271913,0.09194532
146,0.0017769767,0.015092071,0.015945727,0.09011549,0.09433828,1.46877275e-08,0.6620455,0.055576827,0.00054848427,0.022251057,0.035387233,0.0069224173
147,0.0037633053,0.11609915,0.103125446,0.024626892,0.08328632,3.610408e-08,0.0006340797,0.16502644,0.0148316305,0.3221287,0.072638884,0.09383914
148,0.021035649,0.064725555,0.0136094345,0.060019385,0.03087815,1.0335132e-08,0.716608,0.024483433,0.001472238,0.048911106,0.017199976,0.0010571138
149,0.29803994,0.20182657,0.008799474,0.011916308,0.013947357,2.5691176e-09,0.34911385,0.03505339,0.0065806685,0.053679813,0.020433882,0.0006086769
150,0.011559917,0.19839677,0.056420516,0.032555304,0.01239477,4.1877822e-08,0.4482399,0.11408046,0.010652895,0.044913042,0.048372574,0.022413803
151,0.003927833,0.100359865,0.074867375,0.087056495,0.31198904,8.4777705e-09,0.13817376,0.14495568,0.0029009732,0.06617798,0.06745353,0.0021374617
152,0.0072048926,0.026365975,0.21981667,0.019468242,0.14224038,1.782922e-10,0.0015905885,0.12117483,0.06376403,0.3551803,0.041060165,0.0021339678
153,0.009516651,0.017980903,0.06137864,0.039979544,0.17135498,3.3342362e-09,0.065115996,0.13917316,0.01845963,0.3720452,0.05019269,0.05480259
154,0.009685873,0.19094968,0.013081658,0.10562682,0.044236965,5.290621e-08,0.4312036,0.04831516,0.0006680654,0.1021844,0.021090915,0.032956798
155,0.009804176,0.23887128,0.057795502,0.006663656,0.03477588,9.298307e-09,0.3042548,0.06724818,0.011180543,0.17290398,0.05462911,0.04187288
156,0.012504084,0.12541322,0.04473905,0.08045684,0.05344737,4.8628323e-08,7.5410666e-05,0.27442214,0.010461137,0.28003773,0.117943525,0.00049936376
157,0.010412647,0.30359945,0.010502586,0.0018273193,0.0024077168,2.3852031e-08,0.48914325,0.0285179,0.0064564003,0.0013859764,0.058862578,0.08688419
158,0.012169489,0.26462194,0.13396172,0.20277765,0.015120044,1.5980021e-07,0.0023711615,0.26350328,0.027084254,0.035470296,0.041883186,0.0010367453
159,0.005059298,0.010355491,0.09272098,0.22540689,0.25341794,8.7311214e-08,0.10091626,0.07341187,0.0027111415,0.15540117,0.04114363,0.039455287
160,0.021251233,0.3430058,0.15540653,0.0054414165,0.008196248,6.385777e-08,0.0019776265,0.117050186,0.06479951,0.07231138,0.0877521,0.12280792
