,meanscell_abundance_w_sf_endothelial cell,meanscell_abundance_w_sf_astrocyte,meanscell_abundance_w_sf_oligodendrocyte,meanscell_abundance_w_sf_microglial cell,meanscell_abundance_w_sf_vascular associated smooth muscle cell,meanscell_abundance_w_sf_inhibitory interneuron,meanscell_abundance_w_sf_pericyte,meanscell_abundance_w_sf_glutamatergic neuron,meanscell_abundance_w_sf_radial glial cell,meanscell_abundance_w_sf_oligodendrocyte precursor cell,meanscell_abundance_w_sf_neural progenitor cell,meanscell_abundance_w_sf_medial ganglionic eminence derived interneuron,meanscell_abundance_w_sf_caudal ganglionic eminence derived interneuron
521,0.0835141,0.1205327,0.026239408,0.043499123,0.031675726,0.009103798,2.6107178,3.7202814,0.01685958,0.04174705,2.9335253,0.21492775,1.2111083
522,0.097693555,0.050047986,0.14394863,0.48410797,0.043100037,0.16545162,4.065322,2.0190175,0.06264263,0.035067715,4.0390344,0.07272784,0.6540772
523,0.05056043,3.1154687,0.020231329,0.009890304,0.023297178,0.038651507,0.02781613,0.019367784,0.043569885,2.144893,0.021155424,0.029076396,0.8477596
524,0.8278551,3.6344454,0.0089606,0.020620191,0.017500311,0.0143784005,0.056847587,0.014104441,0.016199784,0.0031769234,0.056135345,0.016893957,0.7054932
525,0.5349902,0.39576855,0.02616442,0.005795011,0.0074204765,0.0038652634,0.011941817,0.024711702,0.0065719555,0.3277137,0.07336051,0.024074882,0.42237204
526,0.019914573,0.06804085,0.008928791,0.0038703661,0.009736111,0.008805189,0.01760853,0.07414395,0.01328279,1.5508591,0.51776963,0.015989752,0.31372163
527,1.7270254,0.006745919,0.011471051,0.014642256,0.023678375,0.03116363,0.030415935,0.01636546,0.041966423,1.5194445,0.35798588,0.050397042,1.3511864
528,0.03515682,0.8696919,0.17692713,0.010569138,0.012000361,0.020768743,0.013150509,0.01711205,0.035364795,0.005795502,0.09196736,0.06345914,3.5588357
529,0.14432614,0.015047819,0.017783653,0.19403753,0.09560772,0.016351234,0.043780502,0.013554528,0.015183678,3.223805,0.007772961,0.08324356,1.0753835
530,0.029125102,0.30933553,0.76292557,0.00928327,0.010088377,0.017833153,0.030609095,0.28165433,0.019057069,0.9070965,1.8109782,0.059052467,2.1865647
531,0.060252957,0.0042734845,0.009649951,0.011088303,0.05390355,0.03452994,6.122256,1.2324425,0.02399445,0.0048463778,5.943145,0.012244964,0.016355248
532,0.038185608,0.016710842,0.0077298307,0.014666737,0.07538419,1.3189464,8.481648,13.403778,0.018016653,0.016069865,1.0684843,0.018144436,0.023014048
533,0.11064028,0.09088404,0.10878906,0.033172306,0.2765583,0.025521444,3.9834933,1.041782,0.10043213,0.033832274,5.9928946,0.12916249,0.5299463
534,0.10571674,0.0059815287,0.01671505,0.017930051,0.08304204,1.2182007,5.7754655,5.1571302,0.020055631,0.008599881,6.192959,0.015866937,0.017033014
535,0.024206316,0.0032311245,0.003569562,0.0051331883,0.005696313,1.2499695,0.009558595,0.10802377,0.010581612,0.0066157174,0.026822217,1.4711977,3.1588502
536,0.060478702,0.004119104,0.7207466,2.5098128,0.012541952,2.3547175,0.021543259,0.75015527,1.1547104,0.0037521357,0.020460669,0.117049165,0.014308942
537,0.043697555,0.012121759,0.0048161726,0.23677035,0.016343622,1.8547858,0.2578095,0.1826441,0.05161123,0.0060264617,0.02092443,1.9475582,2.4033437
538,0.019763354,0.004936909,0.0032070954,0.026099075,0.013213657,1.3849511,0.019404113,0.024331827,0.8567145,0.0036987623,0.009156587,1.773542,1.1066679
539,0.15578404,0.3742525,0.016512945,0.024532985,0.039055027,4.694856,0.052683637,2.4720209,0.022466894,3.8537397,0.41143396,0.06490115,0.7535167
540,0.06849248,0.03001997,0.23535119,0.017185971,0.037192494,2.7083304,0.09360891,1.5686519,0.046027754,7.9163556,0.09577361,0.045183025,0.06502081
541,0.09947523,0.11827039,0.0156913,0.025331195,0.024966504,5.5202284,0.054258037,4.731722,0.013871893,1.0643536,0.01343501,0.07831184,1.6675477
542,1.0646415,1.7735351,0.36435854,0.33977285,0.085657366,0.9433555,0.09922473,1.7069397,0.028021887,4.9533854,0.021966262,0.4546825,1.3734676
543,0.119685896,0.012593254,0.43805397,0.15511943,0.055359382,4.694901,0.12024135,6.836685,0.020849112,5.37169,0.025279274,0.03838394,0.041133072
544,0.032444034,0.17862065,0.016540514,0.0075536994,0.013857914,4.5767393,0.017310034,6.2114105,0.07039233,3.6176171,0.021781046,0.014644177,0.01321231
545,0.0575247,0.34668517,0.75423825,0.02855539,0.027109655,4.185223,0.019306963,2.322866,0.6137303,4.415959,0.07392078,0.043622736,0.10632354
546,0.024295505,0.0009932815,0.0023218736,1.4980631,0.005236963,0.40654433,0.013080753,0.04120979,0.0064811697,0.0014335432,0.0068869065,2.8424795,0.9631554
547,0.057931114,0.0034248596,0.00357906,1.0819964,0.023023335,1.2792593,0.05041239,0.023270972,0.014133236,0.0038572748,0.010082973,2.0267174,2.6303024
548,0.03458979,0.005485781,0.16257651,1.5011618,0.018525569,0.64723563,0.03048435,0.017589299,1.7575828,0.0072592213,0.008150848,0.21078295,1.0696946
549,0.046083685,0.0051108273,0.52339673,1.3394789,0.01629065,0.7954345,0.032890983,0.031667296,0.4406336,0.06315758,0.35602692,2.1914818,0.21411975
550,0.1741445,0.10510933,0.0139339045,0.88280797,0.6086504,0.055639494,6.8748727,5.676626,0.18912584,0.011355631,2.885828,0.7580697,0.1925181
551,0.12256971,0.26446888,0.03635739,0.025446301,0.059164654,0.14380325,3.5621214,2.0916114,0.081504166,0.015929941,10.375408,0.028134374,0.018689614
552,0.0716697,0.2523587,0.02814312,0.027927285,0.04704796,0.0353835,4.975638,4.643619,1.6007458,0.67141503,1.9961679,0.23525546,0.42147365
553,0.12620158,0.009062571,2.0112746,0.02050934,0.056802787,0.0641476,6.2786975,4.0850487,0.014035114,0.008176049,1.1122698,0.025334315,0.049852848
554,2.1486478,2.690003,0.5462195,0.014906319,0.023235489,0.045943554,0.033647917,0.34075466,0.1121847,0.008642241,1.2403897,0.732494,0.49669605
555,0.14328851,0.1593249,0.00785314,0.020583518,0.047184385,0.02746909,0.030265871,0.020437675,0.04231428,2.5352843,1.8119545,0.12065396,0.7327199
556,0.07647055,0.007968109,0.009311761,0.021751579,0.018605135,0.65595835,0.07198415,0.53491604,0.014836949,1.2746193,1.5602322,0.036422182,0.7429734
557,2.1642761,1.8090243,0.017747791,0.013082858,0.011578828,0.013541314,0.013206212,0.015087324,0.016255494,1.2364537,0.009550941,0.018571699,0.076594286
558,0.13133895,0.4240584,0.041612487,0.02832153,0.11317457,0.1400913,0.06536052,0.031771593,0.020256827,0.12353487,2.7977848,0.027520955,0.84813976
559,0.08021652,0.003974497,0.0052597956,0.010854579,0.01084022,0.11883864,0.0374483,0.08185167,0.010863389,0.0060691093,0.012992499,0.07419366,3.7062807
560,0.04023681,2.7663505,0.011777,0.008364644,0.012556257,0.0334257,0.020391528,0.020128278,0.023085933,0.6165074,0.014631855,0.17714055,2.4253035
561,2.7450624,0.33130956,0.008756156,0.58128935,0.020213155,0.021495443,0.025248539,0.090102546,0.029704386,3.7010272,0.81808573,0.2399909,0.59848326
562,0.09016645,3.2023315,0.0130257085,0.028109867,0.0327395,0.013790345,0.1282357,0.057204112,0.030294396,0.0071872016,0.037419003,0.16096249,0.5538577
563,0.070563234,0.16547315,0.01796878,0.0105217425,0.048707653,0.02356348,0.71742326,3.2418432,0.39412868,0.19890405,10.13867,0.011846122,0.016803307
564,0.030702127,1.14362,0.013226493,0.008645261,0.025516285,0.008109115,5.5721827,3.1131866,0.1328339,0.010557895,1.9081373,0.009860043,0.017991647
565,0.042310543,0.0039079143,0.010124548,0.006767614,0.029685862,0.059056252,2.5580606,4.807858,0.018530888,0.0054998957,6.810501,0.009528341,0.013911654
566,0.046398435,0.038127583,0.008703176,0.011480466,0.043305203,0.016628185,5.8142667,7.9426904,0.031200912,0.043153044,4.7726927,0.03240547,0.08654233
567,0.03154475,0.0035181,0.005913008,0.94782656,0.008717029,2.4154966,0.015015692,0.08747077,0.35884112,0.0053332443,0.5324676,0.26593646,1.9674968
568,0.042989664,0.0023405051,0.0039088996,0.36810872,0.011135295,3.5803728,0.011970204,0.099602655,0.005851933,0.0018106356,0.0038607423,1.5435376,0.9368674
569,0.059898317,0.002007391,0.0030856328,2.1480734,0.42914325,1.7754266,0.35258296,0.05656977,0.022849087,0.0020782945,0.008837728,1.5807939,1.237377
570,0.028146429,0.0033644051,0.0039546187,0.57096285,0.00827107,2.8002744,0.011799539,0.11187734,0.07616609,0.0023429357,0.008026046,2.8659585,0.62474847
571,0.03478178,0.017288733,0.010566984,0.00757051,0.017208625,2.9100473,0.022263158,2.3486562,0.020391759,6.3180323,0.035745617,0.04366487,0.5257997
572,0.03969611,0.010263325,0.25914142,0.011778615,0.01617606,3.4630923,0.01937814,6.311955,0.015537434,5.518646,0.026631845,0.018248243,0.03778421
573,0.062094342,0.05044281,1.5221347,0.013372917,0.04630043,5.2661576,0.037180062,2.4652522,0.023955382,4.326098,0.06406027,0.06812273,0.3390189
574,0.034438577,0.008643466,0.018475,0.009514951,0.011234881,6.652979,0.024201736,3.4220502,0.0067809736,2.3512266,0.010171111,0.021265708,0.022046728
