,q05cell_abundance_w_sf_Atrial Cardiomyocyte,q05cell_abundance_w_sf_Ventricular Cardiomyocyte,q05cell_abundance_w_sf_Fibroblast,q05cell_abundance_w_sf_Endothelial cell,q05cell_abundance_w_sf_Lymphatic Endothelial cell,q05cell_abundance_w_sf_Mural cell,q05cell_abundance_w_sf_Mesothelial cell,q05cell_abundance_w_sf_Neural cell,q05cell_abundance_w_sf_Adipocyte,q05cell_abundance_w_sf_Myeloid,q05cell_abundance_w_sf_Lymphoid,q05cell_abundance_w_sf_Mast cell
47,0.00011936279624933377,0.00025715637020766734,0.7088085889816285,0.07544395066797734,0.0015377174830064177,0.0016290626663248986,0.5647045373916626,0.08737944476306439,0.004382466734386981,7.658664026166662e-06,0.26999263316392896,0.2668181821703911
48,2.4910329284466573e-05,0.2611457630991936,0.016158000752329826,0.13066294342279433,0.0010057733685243876,0.05190339144319296,0.6816124796867371,0.5127313822507858,1.5874958353379043e-05,8.868229042491295e-06,0.2602272808551788,0.17485211044549942
49,8.121810282091246e-07,7.944822937133723e-06,0.024776822049170734,0.0004138905234867707,0.803806945681572,0.6153764396905899,0.11540107317268848,8.362700318684802e-05,2.6442737862453213e-06,0.2684967368841171,0.16886869445443153,0.28921624422073366
50,2.1721604116464733e-05,0.41135657727718355,0.025937467347830534,0.14260281398892402,0.02757120244204998,0.0008091660623904317,0.43912643641233445,0.05589916706085205,9.741416442921036e-06,1.0652739592842409e-05,0.7416658788919449,0.3193504184484482
51,0.0011539852363057436,0.385488897562027,0.005474845157004893,0.04658612497150898,0.017091113422065974,0.05601215809583664,0.8699532836675644,0.29041600078344343,4.541560065263184e-05,0.2836554542183876,0.20247326642274857,0.1024259451776743
52,0.0001413381251040846,0.14667991325259208,0.0005624981480650604,0.00023382109648082406,0.29554877430200577,0.8424878478050232,0.01855225535109639,0.0009231447213096545,4.062984885422338e-06,0.2585369944572449,0.12645364329218864,0.00033059692796086896
53,0.0072187661658972505,0.5650752693414688,0.022109354753047226,0.0012562118994537742,0.08111217878758907,0.31671694219112395,1.998388070205692e-05,0.5207388073205947,2.4346469217562117e-05,0.05898529477417469,0.0782111756503582,0.0009848601941484958
54,1.854684969657683e-05,0.08666065670549869,0.11031905710697174,0.19366873800754547,6.199240087880754e-05,0.22796277403831483,0.005947586847469211,0.07612738087773323,3.602091248922079e-06,1.6611296814517118e-05,0.381172676384449,0.24640715420246123
55,7.246744680742268e-05,0.17909608483314515,0.2685689881443977,0.0012075682694558053,0.40090649127960204,0.13271990641951562,0.9065209090709686,0.6838264167308807,0.00020708764932351187,0.3547367244958878,0.0014325172931421548,0.07822361513972283
56,1.6470492425924023e-06,1.0046115221484797e-05,0.7342773139476776,0.21218966767191888,0.00017487432269263083,0.033571982011199,0.7074250459671021,0.45281319618225097,0.000124201578728389,0.5291199505329132,0.06106986943632364,0.000739485485246405
