,T_CD4,T_CD8,T_reg,mDC,mono-mac,myeloid,pDC,plasma,tumour_1,tumour_2
100,0.1376907,0.11806716,0.08830661,0.10335809,0.1002216,0.0729744,0.1035423,0.09306402,0.1107647,0.07201043
101,0.13771437,0.118078634,0.0883225,0.103300385,0.100211024,0.07295164,0.10355957,0.09304271,0.11082662,0.07199258
102,0.1375571,0.11809025,0.08816556,0.10352666,0.10009384,0.07303796,0.10360908,0.09323307,0.11070282,0.071983576
103,0.13723525,0.11794244,0.08827678,0.10364951,0.10000654,0.072783366,0.103709206,0.093242,0.11086263,0.07229229
104,0.13777025,0.11798757,0.0884323,0.103537425,0.09995985,0.0729277,0.103300154,0.0932643,0.1107212,0.07209922
105,0.13768001,0.11802098,0.0884304,0.10343026,0.10013108,0.07284969,0.10338679,0.093119465,0.11091257,0.07203878
106,0.13764358,0.118069895,0.088350154,0.10331004,0.10034069,0.072936766,0.10352359,0.0930208,0.11079923,0.072005294
107,0.13774037,0.11832512,0.08865076,0.102938235,0.100710176,0.07271599,0.103837915,0.09240404,0.11093694,0.07174043
108,0.13748775,0.11842991,0.088509426,0.10353206,0.09975942,0.07316783,0.103260264,0.09302444,0.11106847,0.07176039
109,0.13767695,0.11805587,0.08834725,0.10335524,0.100223415,0.072914325,0.103532456,0.09306693,0.11083556,0.07199196
110,0.13771924,0.118041724,0.08836977,0.10333771,0.10025241,0.07292998,0.10351117,0.09299573,0.11085363,0.07198858
111,0.13728406,0.1178005,0.088834494,0.10383052,0.100038856,0.07284175,0.10352011,0.09305814,0.110782705,0.07200892
112,0.1375368,0.11821239,0.08814603,0.10339745,0.09992176,0.072995976,0.10383986,0.09345146,0.11063891,0.07185937
113,0.13756427,0.1180794,0.0882462,0.10342355,0.100208156,0.07298221,0.103596784,0.09320792,0.110683344,0.07200817
114,0.13766974,0.11816654,0.088258974,0.10326538,0.10029697,0.07297317,0.103691265,0.0930036,0.11076719,0.071907125
115,0.13764253,0.118108295,0.08827664,0.10333525,0.10024008,0.07299754,0.1036124,0.093082786,0.11073819,0.07196631
116,0.13771133,0.1181121,0.08837578,0.1031873,0.10036743,0.072906144,0.10366562,0.092859976,0.11086315,0.0719511
117,0.13772193,0.11811274,0.08837185,0.103162125,0.100355394,0.07291699,0.10366894,0.092855535,0.110891365,0.07194314
118,0.13756067,0.11834581,0.08804126,0.1031631,0.10034602,0.07304837,0.10396411,0.09311682,0.11054611,0.071867794
119,0.13759936,0.11819392,0.088342786,0.10346859,0.10020849,0.07292856,0.10336994,0.09320215,0.110650636,0.072035566
120,0.13802353,0.117911205,0.08837412,0.10352128,0.09998829,0.072864406,0.10333653,0.0932254,0.110781446,0.071973786
121,0.13744952,0.11834084,0.087981224,0.103426106,0.10003791,0.07326471,0.1038558,0.09316309,0.1107882,0.07169256
122,0.13756949,0.11814458,0.08818333,0.10346172,0.10016879,0.07305617,0.103630744,0.09317431,0.11065882,0.07195208
123,0.13763335,0.11804778,0.08814771,0.10358988,0.10011411,0.07299789,0.10356015,0.09323277,0.11062826,0.07204813
124,0.13766408,0.117958724,0.08846615,0.103456624,0.10020652,0.072867185,0.10336875,0.093146674,0.110858925,0.07200639
125,0.13767244,0.11803042,0.088410005,0.103344016,0.10023772,0.07289598,0.10347358,0.09304732,0.11085593,0.072032616
126,0.136907,0.1179117,0.0883079,0.10358265,0.099978305,0.07296833,0.10387538,0.0931255,0.111300424,0.07204284
127,0.13757928,0.118070886,0.0882903,0.10349685,0.10016407,0.072981134,0.10349089,0.093184575,0.11070581,0.07203621
128,0.13772188,0.11804133,0.08843073,0.103250615,0.100317866,0.072853506,0.103544325,0.09293804,0.11092036,0.07198128
129,0.13769576,0.118035994,0.08840686,0.103337795,0.10023474,0.07290704,0.103492565,0.09305432,0.11084101,0.07199389
130,0.13773118,0.118104726,0.08839196,0.10325628,0.10029881,0.07292017,0.103550285,0.092946805,0.110854775,0.07194504
131,0.13766155,0.11806694,0.088381015,0.10334507,0.10021508,0.07293587,0.10352973,0.09304301,0.11082008,0.07200166
132,0.13763198,0.117950946,0.08849464,0.103409365,0.10025176,0.07288731,0.10340171,0.09309083,0.110796764,0.07208467
133,0.13757925,0.11808117,0.08819556,0.10347032,0.1002071,0.073016375,0.10354621,0.093251534,0.11066029,0.0719922
134,0.13783105,0.11827376,0.088205755,0.10334221,0.0997443,0.07287178,0.10373173,0.0932923,0.11072689,0.07198021
135,0.13764828,0.11809616,0.088258155,0.10355115,0.10015582,0.07296155,0.10352374,0.09312951,0.11060643,0.07206918
136,0.13768134,0.11813784,0.088295355,0.10329625,0.10022677,0.07296257,0.10364282,0.093030386,0.110782854,0.07194382
137,0.13734795,0.11792122,0.08844712,0.10351679,0.09992381,0.07298321,0.10367278,0.09328512,0.11085364,0.072048336
138,0.13766696,0.118176,0.088248305,0.103333704,0.10019827,0.072983496,0.10359885,0.09315469,0.11072097,0.07191871
139,0.13765487,0.11808432,0.088308044,0.10331573,0.10026091,0.07294587,0.103608645,0.09301315,0.11084357,0.071964785
140,0.13760504,0.11813178,0.08824936,0.10344288,0.10021291,0.072973244,0.1035723,0.093074895,0.11076218,0.0719754
141,0.137666,0.1180791,0.0882992,0.10334691,0.100257315,0.073004626,0.10356893,0.0930579,0.11074467,0.071975365
142,0.13764356,0.1179949,0.08839484,0.10345213,0.100177765,0.07281652,0.10347192,0.09314103,0.11079301,0.072114326
143,0.13768251,0.11804199,0.08834644,0.103405304,0.10020238,0.072925,0.10349194,0.0930922,0.11079182,0.07202042
144,0.13772315,0.11808283,0.088417366,0.10326547,0.100292005,0.07290884,0.103501655,0.09296668,0.110853784,0.07198815
145,0.13766292,0.11813681,0.08849185,0.103799894,0.09977752,0.07308257,0.103076436,0.093131885,0.110746555,0.07209347
146,0.137724,0.11804703,0.08843572,0.10326706,0.1003124,0.07287385,0.10350986,0.09294052,0.110887855,0.072001725
147,0.13770638,0.11802772,0.08842289,0.10334198,0.100237206,0.072890334,0.103465274,0.093025684,0.11085215,0.07203044
148,0.13738902,0.11777245,0.08806843,0.103932664,0.09958893,0.0733832,0.10345314,0.09326295,0.110695034,0.07245415
149,0.13772282,0.118056156,0.08840665,0.103303,0.10030318,0.072895005,0.10350642,0.09296471,0.1108554,0.07198663
150,0.13746542,0.11787202,0.08866858,0.10338087,0.100276925,0.07275258,0.10357706,0.09287645,0.11105029,0.072079815
