,T_CD4,T_CD8,T_reg,mDC,mono-mac,myeloid,pDC,plasma,tumour_1,tumour_2
104,0.113648966,0.104491,0.10650721,0.097162314,0.10210373,0.120474786,0.08291856,0.09343122,0.09301345,0.08624877
105,0.11362192,0.104361415,0.10648207,0.097321436,0.102000594,0.12060775,0.08316901,0.09348742,0.09299988,0.08594857
106,0.11370407,0.104424514,0.106506854,0.09720827,0.10190536,0.12058314,0.083049595,0.093452066,0.09306775,0.086098455
107,0.11400896,0.104273744,0.10632721,0.097560816,0.101974525,0.12038635,0.08299754,0.09341772,0.09294557,0.08610757
108,0.11371567,0.10430254,0.10642526,0.09738566,0.10203761,0.120513014,0.08319234,0.09351038,0.093009666,0.08590789
109,0.113674276,0.104364224,0.10645799,0.09734942,0.101961106,0.12063916,0.083108895,0.093500175,0.09298023,0.08596455
110,0.1136741,0.10433858,0.106479004,0.09734222,0.10198232,0.12056527,0.083148815,0.093480684,0.093025595,0.08596334
111,0.114274964,0.104204014,0.10644452,0.09717755,0.10176977,0.1211074,0.08294156,0.0934786,0.09305903,0.0855426
112,0.11368666,0.10432163,0.10644449,0.09738936,0.10189309,0.12076431,0.08318048,0.09348419,0.09299028,0.085845456
113,0.11376605,0.10447988,0.10653717,0.097271465,0.101836495,0.1206554,0.08298536,0.09345426,0.09306094,0.08595304
114,0.113845095,0.10425217,0.10632275,0.09751639,0.10191153,0.12068589,0.08310564,0.093568265,0.09293954,0.085852735
115,0.113656156,0.10438628,0.106519744,0.09732833,0.101956524,0.120631546,0.08311568,0.09346131,0.09298932,0.085955076
116,0.113769315,0.10424627,0.106386386,0.09737578,0.102057375,0.120510966,0.08321694,0.0935003,0.09306092,0.08587574
117,0.1138066,0.10420533,0.10634817,0.09746891,0.102083296,0.120522015,0.083236046,0.09352202,0.09300356,0.08580408
118,0.113564216,0.10428948,0.10655741,0.0974622,0.101955764,0.12069805,0.083173946,0.09339535,0.09295237,0.08595124
119,0.11365111,0.10431761,0.106455594,0.09736296,0.1019767,0.12063621,0.08319106,0.093473814,0.0929847,0.08595018
120,0.113677196,0.1043608,0.106510445,0.097324245,0.10201794,0.12055881,0.083132654,0.0934866,0.09298128,0.08595005
121,0.11376119,0.10413653,0.106177635,0.09737151,0.102121696,0.120638795,0.08297576,0.09345012,0.09308138,0.08628536
122,0.11372836,0.104412414,0.10652331,0.09729851,0.10195813,0.12072978,0.083005995,0.09353952,0.092910476,0.08589352
123,0.113703735,0.10442275,0.10651715,0.09728036,0.101937346,0.120711595,0.083062865,0.09347697,0.092989326,0.085897915
124,0.11331822,0.104578815,0.106779546,0.09686607,0.10194494,0.12098052,0.083107084,0.09347042,0.09295233,0.086002074
125,0.11356613,0.1044343,0.10654776,0.09725735,0.10201772,0.12055794,0.08314639,0.09346457,0.09301415,0.08599373
126,0.113699816,0.104355104,0.106437385,0.09736496,0.10202215,0.12059522,0.08315697,0.09350928,0.09298231,0.08587679
127,0.113560826,0.10448231,0.1065745,0.097275056,0.10192986,0.12076658,0.08308683,0.09348991,0.09289873,0.08593542
128,0.11372987,0.104306206,0.10644139,0.09736085,0.10202666,0.12053376,0.08315949,0.093492076,0.09304173,0.08590786
129,0.11358557,0.104397036,0.106585726,0.0972965,0.102018416,0.120596476,0.08314422,0.093521185,0.09298253,0.08587232
130,0.113708846,0.104297474,0.10640983,0.0973983,0.10196272,0.12062434,0.08317984,0.09350392,0.09301308,0.085901655
131,0.113655366,0.10433835,0.10650258,0.09742009,0.10203412,0.12035494,0.08319344,0.09343035,0.093106866,0.085963964
132,0.113584965,0.104579635,0.10667316,0.09713429,0.10202983,0.12050548,0.08304386,0.09345047,0.0930086,0.085989654
133,0.11366241,0.10448868,0.106554896,0.0973536,0.10193139,0.12067926,0.083049566,0.093506105,0.092898555,0.08587562
134,0.1138904,0.10441772,0.10618933,0.09747668,0.10216257,0.12057871,0.08314301,0.093636304,0.092803836,0.08570143
135,0.11368364,0.10435315,0.10649772,0.09734291,0.1019154,0.12071106,0.08307692,0.09354246,0.09294898,0.08592768
136,0.11380216,0.104298115,0.106411435,0.09738252,0.10194679,0.1206061,0.08311479,0.093463205,0.09304728,0.08592763
137,0.11360322,0.10444813,0.10651408,0.09741447,0.10189069,0.12079993,0.08306739,0.09358781,0.092797026,0.08587723
138,0.11413631,0.10435837,0.106235996,0.097349025,0.10165414,0.12061313,0.082800865,0.09344104,0.09314052,0.08627053
139,0.11342558,0.10442779,0.106579445,0.09755767,0.10183352,0.120847315,0.08333054,0.09339301,0.09285569,0.08574932
140,0.11374383,0.10435292,0.10644288,0.097366266,0.10189579,0.12068365,0.08309904,0.09351119,0.09299445,0.08590992
141,0.11365697,0.10432942,0.10651222,0.09729709,0.101963334,0.12066034,0.08316153,0.09341699,0.09304428,0.085957885
142,0.113605976,0.10448326,0.10656031,0.097209044,0.10193224,0.12062335,0.08304916,0.093446925,0.09302298,0.08606677
143,0.11362,0.104385726,0.106526494,0.09728563,0.10195807,0.120657444,0.08309382,0.09346885,0.09300634,0.085997626
144,0.11365455,0.10438844,0.10649035,0.09732154,0.10196998,0.12058582,0.08313203,0.093461305,0.09301373,0.08598223
