,endothelial cell,astrocyte,oligodendrocyte,microglial cell,vascular associated smooth muscle cell,inhibitory interneuron,pericyte,glutamatergic neuron,radial glial cell,oligodendrocyte precursor cell,neural progenitor cell,medial ganglionic eminence derived interneuron,caudal ganglionic eminence derived interneuron
66,3.4181485e-05,0.2565706,4.247756e-06,3.3982194e-06,0.12588388,0.1303664,0.14934582,0.1421681,2.5512165e-06,2.5251827e-06,0.04906651,5.9146237e-06,0.1465459
67,3.127401e-05,0.15263408,3.5168455e-06,3.4901861e-06,0.12427743,0.17391407,0.14926362,0.18994442,2.5876495e-06,2.3271034e-06,0.126254,6.050709e-06,0.08366315
68,3.120547e-05,0.12032741,3.827043e-06,3.880946e-06,0.100478955,0.20635869,0.09411964,0.17011262,2.7620652e-06,2.3190028e-06,0.12594679,6.7192495e-06,0.18260515
69,3.476789e-05,0.30279794,3.7992065e-06,3.171141e-06,0.15472336,0.100697786,0.16891518,0.1532228,2.4411834e-06,2.54034e-06,0.04935383,5.7780653e-06,0.0702366
70,3.5223085e-05,0.28326297,4.468632e-06,3.459175e-06,0.124795884,0.12058265,0.13246681,0.13048361,2.5471154e-06,2.5659522e-06,0.040028222,6.038636e-06,0.16832554
71,3.193781e-05,0.06750504,3.2686207e-06,4.5136485e-06,0.12419603,0.15404136,0.13596514,0.24533567,3.5175394e-06,2.7093952e-06,0.2513214,6.9136163e-06,0.02158247
72,3.7005033e-05,0.41534692,3.861929e-06,3.0839344e-06,0.16507335,0.06510791,0.1349258,0.12382323,2.2733277e-06,2.6328737e-06,0.025699561,5.569541e-06,0.06996874
73,3.2806947e-05,0.21770038,3.754443e-06,3.288549e-06,0.13547085,0.1422806,0.16306543,0.16942061,2.533848e-06,2.4284352e-06,0.08082906,5.872118e-06,0.09118238
74,3.2364605e-05,0.177527,3.7279572e-06,3.4769432e-06,0.12631996,0.16426344,0.14780362,0.17770444,2.5819947e-06,2.389014e-06,0.10185494,6.077989e-06,0.10447595
75,3.0493908e-05,0.1638242,4.3077125e-06,3.7140805e-06,0.087002605,0.1837305,0.09096192,0.12695402,2.6185155e-06,2.2355766e-06,0.05785061,6.2962818e-06,0.28962645
76,2.6820831e-05,0.15791468,2.709147e-06,2.8376726e-06,0.14483714,0.13160591,0.1993764,0.20444338,2.3659304e-06,2.099822e-06,0.14144589,5.3231743e-06,0.020334462
