,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Ventricular Cardiomyocyte
108,0.011018282,0.003082362,0.036977835,0.019470293,0.027703034,1.8068392,3.2494996,6.4353995,0.036099803,0.12898333,0.024477672,0.0019967128
109,0.011057832,0.0040323655,0.065437995,0.02470381,0.033705,1.9753758,0.9440287,8.632707,0.061078764,0.16486394,0.039010186,0.001839571
110,0.007801641,0.002404621,0.032095525,0.019410728,0.021112882,1.1452503,2.8410325,0.776216,0.23474146,0.0474499,0.028045414,0.0026668892
111,0.15506035,0.010796693,0.19609568,0.22952716,0.080944836,2.2204406,2.4594111,9.11121,7.214831,0.38577822,0.25822777,0.0077175563
112,0.0081284335,0.0029949357,0.051096555,0.017363021,0.034085643,1.2906351,5.83592,1.6288873,0.05883641,2.3204744,0.034888703,0.0015853159
113,0.074863665,0.009174121,0.20813096,0.15168004,0.058997214,1.9920585,6.498059,3.9802346,5.5771594,0.2676092,0.15816124,0.0045425557
114,0.023466852,0.0056252666,0.11091697,0.06400725,0.048128415,1.6291555,1.33352,5.953879,7.2932825,0.17850584,0.06964443,0.004602533
115,0.029844906,0.0065219784,0.101308204,0.0592424,0.05835764,0.880394,0.24228247,4.4558,9.577628,0.11417256,0.08976362,0.0035656511
116,0.052300308,0.008259246,0.22051662,0.10199318,0.09410209,1.8711421,1.5268475,9.231876,13.020957,0.7977344,0.08719469,0.003953442
117,0.025838057,0.0067553134,0.23789613,0.08932386,0.076629065,1.7336378,12.609058,3.6642776,2.252054,0.29003066,0.12345275,0.0044645607
118,0.017647998,0.005815858,0.16419429,0.031202056,0.04725281,2.920374,5.123594,9.011578,0.63820934,0.30486476,0.06190604,0.002664937
119,0.016306901,0.14350304,0.06497763,0.018704182,0.034093007,1.8419608,0.058148723,20.737207,0.04340109,0.21408668,0.045077667,0.37787986
120,0.016797476,0.0044404436,0.11588889,0.045427617,0.059292004,2.5435948,2.8565898,6.747991,5.433098,0.18198909,0.07019951,0.0033081276
121,0.07957819,0.009881106,0.1340117,0.20667545,0.087090954,0.4464453,1.601793,1.317121,8.444499,0.20221627,0.08284129,0.0064318017
122,0.012907911,0.0077550663,0.11513068,0.02885873,0.054649953,1.174751,11.348764,0.038905583,1.7911054,0.16242245,0.055405334,0.004918075
123,0.022744533,0.0062426385,0.09976737,0.03381852,0.04735186,1.3551495,6.2030153,2.7130525,0.14453775,0.21792752,0.036060683,0.0032013275
124,0.006868765,0.004243827,0.06042276,0.014042156,0.02104928,3.3758242,3.3902428,5.192227,0.041144323,0.1357635,0.042643536,0.0015000127
