factor,level,control_level,method_run_id,metric,mixture_seeds,mean_value,seed_sd,minimum_value,maximum_value
rare_nk,observed,observed,shapemix_length,jsd_v2,2,0.1293023840278407,0.0012055708571116054,0.1284499166995762,0.1301548513561052
rare_nk,observed,observed,shapemix_length,rmse_v1,2,0.04690788256701475,0.00025853928788022786,0.0467250676833515,0.047090697450678
reference_support,all,all,nnls,jsd_v2,2,0.01164082104560575,8.936408526094921e-05,0.0115776310949232,0.0117040109962883
reference_support,all,all,nnls,rmse_v1,2,0.07248963391243755,0.0012752517496981233,0.071587894752506,0.0733913730723691
reference_support,all,all,shapemix_count_only,jsd_v2,2,0.0107494381791365,0.00010794920042417477,0.0106731065674929,0.0108257697907801
reference_support,all,all,shapemix_count_only,rmse_v1,2,0.07124900408212745,0.000367832902000454,0.0709889069427794,0.0715091012214755
reference_support,all,all,shapemix_length,jsd_v2,2,0.01060424759893375,0.00012166738074069348,0.0105182157689628,0.0106902794289047
reference_support,all,all,shapemix_length,rmse_v1,2,0.0687702833820178,0.0004167020415276811,0.0684756305427193,0.0690649362213163
reference_support,per_type_100,all,nnls,jsd_v2,2,0.016219842529022102,0.00015100354172382048,0.016113066900686,0.0163266181573582
reference_support,per_type_100,all,nnls,rmse_v1,2,0.08291755695977845,0.0016290284361042788,0.0817656599058634,0.0840694540136935
reference_support,per_type_100,all,shapemix_count_only,jsd_v2,2,0.0131524283875216,7.625574159877071e-05,0.0130985074355327,0.0132063493395105
reference_support,per_type_100,all,shapemix_count_only,rmse_v1,2,0.07452373384382295,0.0010346980459993995,0.0737920918390163,0.0752553758486296
reference_support,per_type_100,all,shapemix_length,jsd_v2,2,0.02024836871115935,0.0006038089072600913,0.0198214113382949,0.0206753260840238
reference_support,per_type_100,all,shapemix_length,rmse_v1,2,0.09440193587943765,0.0002330534489447563,0.0942371422053099,0.0945667295535654
reference_support,per_type_250,all,nnls,jsd_v2,2,0.01297375064914635,0.0005232961169322041,0.012603724416295,0.0133437768819977
reference_support,per_type_250,all,nnls,rmse_v1,2,0.074762050102549,0.002480371642632266,0.0730081624941809,0.0765159377109171
reference_support,per_type_250,all,shapemix_count_only,jsd_v2,2,0.01094558774264005,9.217618547863316e-05,0.0108804093368242,0.0110107661484559
reference_support,per_type_250,all,shapemix_count_only,rmse_v1,2,0.06941305609913981,0.0006356438366137249,0.0689635880318508,0.0698625241664288
reference_support,per_type_250,all,shapemix_length,jsd_v2,2,0.01515657453892445,0.00019815566057962186,0.0150164573275981,0.0152966917502508
reference_support,per_type_250,all,shapemix_length,rmse_v1,2,0.07986753813817855,0.0007240743117579824,0.0793555402822515,0.0803795359941056
reference_support,per_type_50,all,nnls,jsd_v2,2,0.02015733286396105,0.00048789084556528407,0.019812341938583,0.0205023237893391
reference_support,per_type_50,all,nnls,rmse_v1,2,0.09312439494852365,0.001006645104710513,0.0924125893687346,0.0938362005283127
reference_support,per_type_50,all,shapemix_count_only,jsd_v2,2,0.017218556909952998,0.0003437357443385602,0.016975499034195,0.017461614785711
reference_support,per_type_50,all,shapemix_count_only,rmse_v1,2,0.085260216954892,0.0008807451307339312,0.084637436100453,0.085882997809331
reference_support,per_type_50,all,shapemix_length,jsd_v2,2,0.02401497794576795,0.0007573747506087972,0.023479433123713,0.0245505227678229
reference_support,per_type_50,all,shapemix_length,rmse_v1,2,0.1038452875499775,0.000174105391111527,0.1037221764472814,0.1039683986526736
subtype,broad3,broad3,nnls,jsd_v2,2,0.01164082104560575,8.936408526094921e-05,0.0115776310949232,0.0117040109962883
subtype,broad3,broad3,nnls,rmse_v1,2,0.07248963391243755,0.0012752517496981233,0.071587894752506,0.0733913730723691
subtype,broad3,broad3,shapemix_count_only,jsd_v2,2,0.0107494381791365,0.00010794920042417477,0.0106731065674929,0.0108257697907801
subtype,broad3,broad3,shapemix_count_only,rmse_v1,2,0.07124900408212745,0.000367832902000454,0.0709889069427794,0.0715091012214755
subtype,broad3,broad3,shapemix_length,jsd_v2,2,0.01060424759893375,0.00012166738074069348,0.0105182157689628,0.0106902794289047
subtype,broad3,broad3,shapemix_length,rmse_v1,2,0.0687702833820178,0.0004167020415276811,0.0684756305427193,0.0690649362213163
subtype,cd4_related3,broad3,nnls,jsd_v2,2,0.03338526405632715,0.00011668835600684635,0.0333027529285092,0.0334677751841451
subtype,cd4_related3,broad3,nnls,rmse_v1,2,0.1230534573515953,0.0013776896931626155,0.1220792836271892,0.1240276310760014
subtype,cd4_related3,broad3,shapemix_count_only,jsd_v2,2,0.0254980329833811,0.0009364780976138066,0.0248358429701257,0.0261602229966365
subtype,cd4_related3,broad3,shapemix_count_only,rmse_v1,2,0.10805081451768594,0.0003592173104397648,0.1077968095215544,0.1083048195138175
subtype,cd4_related3,broad3,shapemix_length,jsd_v2,2,0.03474159094369555,0.0001964441212586876,0.0346026839734293,0.0348804979139618
subtype,cd4_related3,broad3,shapemix_length,rmse_v1,2,0.13157940034675264,0.001374155423379686,0.1306077257284766,0.1325510749650287
