,meanscell_abundance_w_sf_endothelial cell,meanscell_abundance_w_sf_astrocyte,meanscell_abundance_w_sf_oligodendrocyte,meanscell_abundance_w_sf_microglial cell,meanscell_abundance_w_sf_vascular associated smooth muscle cell,meanscell_abundance_w_sf_inhibitory interneuron,meanscell_abundance_w_sf_pericyte,meanscell_abundance_w_sf_glutamatergic neuron,meanscell_abundance_w_sf_radial glial cell,meanscell_abundance_w_sf_oligodendrocyte precursor cell,meanscell_abundance_w_sf_neural progenitor cell,meanscell_abundance_w_sf_medial ganglionic eminence derived interneuron,meanscell_abundance_w_sf_caudal ganglionic eminence derived interneuron
92,0.07012138,0.02524688,1.3880014,0.9004626,0.01203706,0.21980815,0.017562829,0.07160446,0.023809778,3.1829123,0.006771002,0.46417472,0.6929658
93,0.5312254,0.19773644,0.95723605,0.016896645,0.13342252,0.007899077,0.016390806,0.0155035015,0.016086519,4.181762,0.0043038204,0.033479016,1.0778215
94,2.1034071,0.82134247,0.45735234,0.009735764,0.16491008,0.008962406,0.016204052,0.014110712,0.012538778,1.1590986,0.26507342,0.014561428,0.032276638
95,0.02853261,0.2884549,0.015518887,0.0042110607,0.00727781,0.029768262,0.009194765,0.32555,0.018385831,1.5800872,2.1624727,0.027968755,1.1973828
96,0.36015812,0.0074162325,1.1267996,0.0055885054,0.013106927,0.0074953763,0.02265179,0.114046484,0.00634388,1.1918749,1.285636,0.023922155,0.04265007
97,0.04140602,0.14511307,0.055038713,0.00683868,0.009455228,0.010613019,0.012911822,0.011967587,0.047634877,0.10758636,6.071436,0.011594846,0.9840903
98,0.031092737,0.07493662,0.018144172,0.004749898,0.011784334,0.0075794393,0.010542269,0.009105375,0.024206156,0.44558844,4.6974835,0.027330557,2.3980641
99,1.1405784,0.25688684,0.5121257,0.009868209,0.21499316,0.0074678534,0.029873636,0.009594117,0.007763464,1.6979901,0.011589512,0.04528625,1.0040293
100,0.3043059,1.2078632,0.0071125263,0.016039815,0.07107661,0.43102813,0.02692805,0.13830334,0.05586887,0.006229887,0.03304441,0.25176957,2.0118546
101,0.84170336,1.3139701,0.009892541,0.029505676,0.021511372,0.01199734,0.011472853,0.020821616,0.012935605,1.5175478,0.010128431,0.043331202,1.6731836
102,0.3033686,1.3133676,0.01051837,0.10743772,0.007695819,0.008986192,0.08686306,0.17403615,0.024799783,0.0043274863,0.44809908,0.2922209,0.7021097
103,0.039640702,0.09605021,0.005934932,0.008318746,0.0127169015,0.022614257,0.02098226,0.014867237,0.06344973,2.3192215,0.60601956,0.071444266,2.6566513
104,0.03557351,1.2705775,0.21961349,0.0092962235,0.010972236,0.098701596,0.012934726,0.013689373,0.012108124,1.3572892,0.0045963973,0.8492232,1.6399497
105,0.19074425,0.4124787,0.039545685,0.010904748,0.016566534,0.014632538,0.046647865,0.010783488,0.009517407,1.9587802,0.0050642416,0.02596077,0.02160178
106,1.5359352,0.04957808,0.05520979,0.009165761,0.07434253,0.017145867,0.027142376,0.012238604,0.0072859842,2.183026,0.0065122475,0.37058055,0.45222494
107,0.26572502,2.2468677,0.05619816,0.046106543,0.120863885,0.0076386784,0.030402683,0.012181026,0.039315633,0.02030921,0.019034294,0.09503841,3.7944765
108,0.044473372,2.4066584,0.018651357,0.0043873186,0.009780151,0.010051983,0.01246158,0.013384584,0.01709997,0.38698798,0.72409713,0.011696299,0.22158843
109,2.5274575,0.93046373,0.008733998,0.011892172,0.2055954,0.0078899525,0.013845652,0.009650122,0.017290264,0.60997325,0.004877187,0.025646986,1.2427518
110,2.067614,2.0259721,0.0020801867,1.16128,0.0077654556,0.100419715,0.01641291,0.43741584,0.79899526,0.002466184,0.6770308,0.011518247,0.0059389104
111,1.4443318,0.00438905,0.007165319,0.005435324,0.013151358,0.35110912,0.011584002,0.043746613,0.016201435,0.00278226,2.9143987,0.066902116,0.4624557
112,1.4558053,0.0050054747,0.009373553,0.005646589,0.010864863,0.01654076,0.03292428,0.043768834,0.008020395,1.5720818,0.004270799,0.01411225,0.015509518
113,2.271622,5.2632046,1.3013926,0.7813671,0.16628352,0.04704452,0.18975373,0.13824956,0.16063523,0.8815541,0.16803557,1.0650024,0.4123505
114,0.2548889,1.6298333,1.4199075,0.008367156,0.4565966,0.005922379,0.0638013,0.010620509,0.013652641,0.020978836,1.3923073,0.03420891,1.2279497
115,0.024652852,0.84773374,0.014407872,0.005343678,0.0049384437,0.032774106,0.008143845,0.010844625,0.03374588,2.8310509,2.6290426,0.0069635175,0.0075613074
